title,release_date,pageid,qid,rating,popularity,revenue,total_pageview
Blade Runner 2049,2017-10-04,39830741,Q21500755,7.544,70.54,259239658,634387
The Hobbit: The Desolation of Smaug,2013-12-11,36887547,Q719915,7.57,70.03,958400000,136723
Life Is Beautiful,1997-12-20,142463,Q19355,8.455,39.478,230098753,201747
X-Men: Apocalypse,2016-05-18,43530847,Q17042878,6.513,45.544,543934787,341869
American Sniper,2014-12-25,39462431,Q16970789,7.427,64.846,542307423,311301
Edward Scissorhands,1990-12-07,302970,Q217182,7.716,37.283,53000000,404767
John Wick: Chapter 2,2017-02-08,48377733,Q21451640,7.323,88.285,171539887,287684
X-Men: First Class,2011-06-01,28648635,Q223596,7.296,1.659,353624124,322529
The Terminator,1984-10-26,30327,Q162255,7.646,44.969,78371200,588103
Back to the Future Part II,1989-11-22,213270,Q109331,7.752,30.516,332000000,279067
Terminator 2: Judgment Day,1991-07-03,34344124,Q170564,8.104,69.45,520000000,416271
Wreck-It Ralph,2012-11-01,32071439,Q28891,7.3,46.617,471222889,237389
Donnie Darko,2001-10-24,57820,Q426828,7.8,38.016,7500000,544791
The Shape of Water,2017-12-01,49834236,Q26698156,7.247,29.339,195333312,240508
Raiders of the Lost Ark,1981-06-12,54166,Q174284,7.924,60.763,389925971,455069
Zombieland,2009-10-07,21835208,Q219810,7.3,32.08,102391540,177822
Me Before You,2016-06-01,43425102,Q20735644,7.918,79.741,207945075,482700
Silver Linings Playbook,2012-11-16,33502433,Q116845,7.13,28.014,236412453,305382
The Godfather Part II,1974-12-20,73875,Q184768,8.591,64.753,102600000,699504
The Social Network,2010-10-01,24319139,Q185888,7.358,36.101,224920315,402452
Pirates of the Caribbean: Dead Men Tell No Tales,2017-05-23,41861349,Q10350033,6.648,62.006,795922298,358419
Knives Out,2019-11-27,58400663,Q57982486,7.847,39.064,312897920,668578
Good Will Hunting,1997-12-05,142456,Q193835,8.149,56.169,225933435,777290
Taxi Driver,1976-02-09,30000,Q47221,8.2,41.36,28600000,488973
No Country for Old Men,2007-06-13,3920193,Q183081,7.933,33.115,171627166,1017739
Rise of the Planet of the Apes,2011-08-03,27279709,Q243983,7.289,38.032,482860185,954521
Ocean's Eleven,2001-12-07,2251266,Q205447,7.43,39.17,450717150,355512
The Sixth Sense,1999-08-06,30582,Q183063,7.944,32.836,672806292,557075
Amélie,2001-04-25,44302,Q484048,7.905,42.494,173921954,212795
American History X,1998-07-01,171562,Q208572,8.352,36.427,23875127,343797
The Conjuring,2013-07-18,37671451,Q5540479,7.541,105.394,320406242,422999
The Notebook,2004-06-25,17917662,Q223374,7.88,55.483,115603229,735200
2001: A Space Odyssey,1968-04-02,23941708,Q103474,8.076,48.932,71923560,637860
In Time,2011-10-27,29446866,Q628082,6.953,67.242,173930596,339516
Cast Away,2000-12-22,44501,Q213411,7.662,32.387,429632142,418120
Despicable Me 2,2013-06-26,30069822,Q637212,6.916,46.283,970761885,233166
E.T. the Extra-Terrestrial,1982-06-11,73441,Q11621,7.512,50.334,792965500,398321
Jurassic World: Fallen Kingdom,2018-06-22,47068041,Q21877685,6.548,44.365,1310466296,299206
